run_name,topk,loss_type,gamma,kappa,omega_mode,mu_transform,selection_metric,best_val_metric,final_epoch,test_sharpe,test_mean_a,test_vol_a,test_max_dd,test_util_a,test_util_vol_a,test_util_sharpe_a,test_risk_m,test_max_w_med,test_n_eff_med,test_ic_med,n_months,equal_sharpe,equal_mean_a,equal_vol_a,equal_max_dd
topk50_return_gamma5.0_kappa0.0_diagSigma,50,return,5.0,0.0,diagSigma,zscore,mean_a,0.03903665137477219,13,0.49988994043983925,0.15958611804243422,0.31924250746378086,-0.529305534920125,-0.015798291625024177,0.3206653069779833,-0.04926723060209196,0.0058461469889152795,0.9006174802780151,1.2250867918994828,0.00899997618239216,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma5.0_kappa0.1_diagSigma,50,return,5.0,0.1,diagSigma,zscore,mean_a,0.21061326382205153,27,0.24243651934940427,0.07966574722091518,0.3286045659889091,-0.5538675527031978,-0.19239088742358385,0.33141950778810725,-0.5805056217330704,0.009068554488149968,0.6471043825149536,1.8733936910156854,-0.006196890506502973,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma5.0_kappa0.1_identity,50,return,5.0,0.1,identity,zscore,mean_a,0.22166548455134033,44,1.0899403986376852,0.3262811894332729,0.29935690964386796,-0.33759140091770756,0.16466720934269652,0.2985881991318622,0.5514859924836644,0.005387132669685878,0.22017139196395874,7.268083736745606,0.01614116096906252,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma5.0_kappa1.0_diagSigma,50,return,5.0,1.0,diagSigma,zscore,mean_a,0.1936949853086844,50,1.0758192749214635,0.2186936338989186,0.20328101475390256,-0.16193897597180273,0.152480836119394,0.2037817535147794,0.7482555895642883,0.002207093259317487,0.300672322511673,5.288843492671443,0.036683251870169825,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma5.0_kappa1.0_identity,50,return,5.0,1.0,identity,zscore,mean_a,0.1547177203465253,28,0.8205428560869915,0.17017066226314717,0.20738790302049212,-0.3332733350520284,0.07795822717984877,0.20599457552872213,0.3784479614542106,0.0030737478361099473,0.03183547407388687,44.24925693116855,-0.01542014862608881,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma10.0_kappa0.0_diagSigma,50,return,10.0,0.0,diagSigma,zscore,mean_a,0.24913328795082634,15,0.7220477034940757,0.21103922580586415,0.29227878543744124,-0.3206749350629904,-0.06615111863928211,0.29776828891935353,-0.22215635815060242,0.004619839074085771,0.665246844291687,1.871176841421559,0.00818050396302768,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma10.0_kappa0.1_diagSigma,50,return,10.0,0.1,diagSigma,zscore,mean_a,0.2292685948079452,43,0.4102015774602159,0.13208171329678636,0.3219922120099266,-0.6850278718956624,-0.19125659333402725,0.3296413260677369,-0.5801960440304332,0.0053889717771802275,0.5732542872428894,2.193918312295853,-0.015567980250271972,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma10.0_kappa0.1_identity,50,return,10.0,0.1,identity,zscore,mean_a,0.12116720853373408,41,0.8458874575627991,0.16690629011533598,0.19731500759614806,-0.32392792727932906,0.031066469049568626,0.19412881523352432,0.16003017899242652,0.0022639970177627893,0.15094029903411865,10.926834615490897,0.021590157352870693,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma10.0_kappa1.0_diagSigma,50,return,10.0,1.0,diagSigma,zscore,mean_a,0.17171028014272452,27,0.6267728222066119,0.13436574098070928,0.21437710159007123,-0.3685751369272655,-0.03896619467647903,0.2124341885014402,-0.18342713548686365,0.0028888655942864716,0.3466099500656128,4.613348167183215,-0.008090866158119917,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma10.0_kappa1.0_identity,50,return,10.0,1.0,identity,zscore,mean_a,0.1662683499744162,50,0.8228189283602098,0.17862931277742175,0.21709431640396032,-0.3559221806341558,-0.0023543365891570242,0.21586086451162392,-0.010906731956590206,0.003016394156109646,0.038797926157712936,43.95008623840675,0.006894241545944163,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma20.0_kappa0.0_diagSigma,50,return,20.0,0.0,diagSigma,zscore,mean_a,0.142971575935735,35,0.2444813410856498,0.060042610263591194,0.2455917903457173,-0.5332151920190098,-0.3451050355199237,0.2584834790547381,-1.3351144791946528,0.003376230381529291,0.5827891826629639,2.198475273287175,-0.02194350682990127,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma20.0_kappa0.1_diagSigma,50,return,20.0,0.1,diagSigma,zscore,mean_a,0.13312513810233212,22,0.7728902350397114,0.2009458406784824,0.25999272803257095,-0.3239684697139906,-0.16247722490856023,0.25989393751176737,-0.6251674296965026,0.0030285255465586887,0.4539092481136322,3.306605728967632,0.023348674350700403,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
topk50_return_gamma20.0_kappa0.1_identity,50,return,20.0,0.1,identity,zscore,mean_a,0.21043312276888174,31,0.5305583310715198,0.15152135441976242,0.2855884933768133,-0.5006210348804268,-0.275682157913014,0.2831917852148013,-0.9734821852368891,0.0035600292694398035,0.24606162309646606,6.725511846359564,-0.024483802272024572,107,0.8195739856652416,0.17348847797392894,0.21168128931311814,-0.3477252873595901
