epoch,train_loss,val_sharpe,val_mean_a,val_vol_a,val_util_a,val_risk_m,val_max_w_med,val_n_eff_med,val_ic_med,val_mu_std_med,val_select_score,val_select_key
1,-2.4413184198950018,1.0172668456789833,0.21416857243748383,0.2105333259863767,-0.13304520905949174,0.0028934481791414632,0.029448390938341618,60.90513397716826,-0.003688135664231707,0.4447678178548813,1.0172668456789833,sharpe_a
2,-2.472744290317808,1.0185956929652338,0.2133892361423932,0.20949355825389093,-0.1311783786979504,0.0028713967903361967,0.029714906588196754,60.63262314625693,-0.009508865677316751,0.42534486949443817,1.0185956929652338,sharpe_a
3,-2.3204236967223033,1.0340763959224293,0.21828008963493634,0.21108700526829977,-0.1305125737329945,0.00290660552806609,0.029251637868583202,60.95484058346989,0.003287213226068916,0.47158513963222504,1.0340763959224293,sharpe_a
4,-2.618308803864888,1.0260570467190593,0.21546060962718913,0.20998891856463953,-0.12852702792151832,0.0028665636462392287,0.029421149753034115,60.73257846026883,0.002265152715658458,0.42747318744659424,1.0260570467190593,sharpe_a
5,-2.496166569136438,1.0315845216778585,0.2155727477511391,0.20897245278504306,-0.12760750588495284,0.002859835446967433,0.029734372161328793,60.62447583708021,0.0007213304946960706,0.3961030840873718,1.0315845216778585,sharpe_a
6,-2.3809800928547267,1.0383750826110603,0.2168930187355727,0.20887733379458898,-0.12554856629576536,0.0028536798752611505,0.029491218738257885,60.59098256134715,0.0002250714652677979,0.4269898533821106,1.0383750826110603,sharpe_a
7,-2.3867332325095223,1.047299540904727,0.2172345309285447,0.20742349484831793,-0.12174084680154919,0.002824794814417449,0.029691355302929878,60.43706956461247,0.001150369766000274,0.4040945768356323,1.047299540904727,sharpe_a
8,-2.3937101804074787,1.0576129501531013,0.2190742304781452,0.2071402685125727,-0.11750905034132303,0.0028048606734955685,0.029444164596498013,60.32233043316582,0.018367053928152514,0.45498496294021606,1.0576129501531013,sharpe_a
9,-2.4342761167458127,1.0596919677645098,0.21951608618255705,0.2071508446408073,-0.11790968626737594,0.002811881437082775,0.030334019102156162,60.111900656570626,0.011612943579693738,0.4392879456281662,1.0596919677645098,sharpe_a
10,-2.545584942613329,1.069679250807693,0.22116426245775073,0.2067575511908681,-0.11467382520204408,0.0027986507304982905,0.029933348298072815,59.848118646451425,0.013384104176421437,0.41922619938850403,1.069679250807693,sharpe_a
11,-2.6073562247412547,1.0718498583652933,0.22145899650640785,0.2066138226141943,-0.11459963142406196,0.0028004885660872485,0.029892240650951862,59.92353831084607,0.017448018323374708,0.44713810086250305,1.0718498583652933,sharpe_a
12,-2.301571628167516,1.0734205266304127,0.22126520017627627,0.20613095677402324,-0.1134545732056722,0.0027893314448495707,0.030057632364332676,59.915557212121044,0.017460967983592916,0.45121893286705017,1.0734205266304127,sharpe_a
13,-2.393977831516947,1.0718896075730486,0.22067771607544273,0.2058772792601516,-0.11351367167662829,0.0027849282312672587,0.030184724368155003,60.114317512746865,0.016719356465706603,0.4117094725370407,1.0718896075730486,sharpe_a
14,-2.4181061504142627,1.0835519874606978,0.2219929792219773,0.20487524529499862,-0.11024633301422002,0.002768660935301644,0.030481711961328983,59.8910604777283,0.01907707855377299,0.4275817424058914,1.0835519874606978,sharpe_a
15,-2.486965014821007,1.0919121812424384,0.2232537200441584,0.20446124136927935,-0.10840046387165785,0.0027637848659651356,0.030029104091227055,59.84129666843142,0.019211106596769015,0.4409230351448059,1.0919121812424384,sharpe_a
16,-2.5223694429511117,1.0946440667281012,0.22284895083867012,0.20358119831926055,-0.10671368548646569,0.0027463553027094654,0.029341761954128742,59.89924292973472,0.031859916846530195,0.43379442393779755,1.0946440667281012,sharpe_a
17,-2.5069709175399373,1.0915614007635621,0.22247127173468473,0.20381013067883444,-0.10690403796033934,0.0027447942474585338,0.029398703947663307,59.77481816288726,0.030088658950999044,0.42018043994903564,1.0915614007635621,sharpe_a
18,-2.432274483499073,1.1016556515526996,0.2242332807276398,0.20354207815345787,-0.10555903482018039,0.002748269296231835,0.029262063093483448,60.01233435602221,0.032795094383062176,0.46788541972637177,1.1016556515526996,sharpe_a
19,-2.4028252902485074,1.102935931287652,0.22430348237976433,0.2033694578403954,-0.10526901822304352,0.0027464375050233985,0.030384721234440804,59.60776199644716,0.027091972120834282,0.4388930946588516,1.102935931287652,sharpe_a
20,-2.4892388113907407,1.1122529323233858,0.22626061164774,0.203425502483497,-0.10283624476287513,0.0027424738034217927,0.0304688336327672,59.50570811029176,0.03181275404411554,0.4228062182664871,1.1122529323233858,sharpe_a
21,-2.5350734563100907,1.1289220700286877,0.22806751499883832,0.2020223725380033,-0.09885561874834822,0.0027243594478932208,0.03053683042526245,59.515169342249656,0.03681751686336373,0.4730300158262253,1.1289220700286877,sharpe_a
22,-2.542515659616107,1.1222948732429994,0.22688829244580117,0.20216459849723736,-0.09954808002803474,0.002720303103948633,0.029900739900767803,59.55128357028608,0.03524554598998803,0.4435497969388962,1.1222948732429994,sharpe_a
23,-2.6580548084207942,1.1315193651218234,0.22793780141510073,0.2014440127495552,-0.09745182257611304,0.002711580199926781,0.029916624538600445,59.43195375688492,0.040814291887078635,0.43331024050712585,1.1315193651218234,sharpe_a
24,-2.5940481309912036,1.1400968393258721,0.22897255471907557,0.20083605779779606,-0.09525746108265593,0.0027019167983477624,0.030637982301414013,59.29081811591739,0.03576325036779929,0.46406489610671997,1.1400968393258721,sharpe_a
