run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,test_sharpe,best_val_metric
scenario=summer_child_no_dotcom_pre2007__topk=56__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,56,utility,10.0,1.0,diagSigma,zscore,1.232257615138219,0.15239901759196073
scenario=summer_child_no_dotcom_pre2007__topk=68__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,68,return,5.0,1.0,diagSigma,zscore,1.268413203589542,0.3475775618571788
scenario=summer_child_no_dotcom_pre2007__topk=68__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,68,sharpe,20.0,1.0,identity,zscore,1.1935899381650437,3.6188514628935327
scenario=summer_child_no_dotcom_pre2007__topk=68__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,68,utility,10.0,1.0,diagSigma,zscore,0.7563220814073655,0.5395334414206445
scenario=summer_child_no_dotcom_pre2007__topk=75__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,75,return,5.0,1.0,diagSigma,zscore,0.8802957422246581,0.41972396965138614
scenario=summer_child_no_dotcom_pre2007__topk=75__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,75,sharpe,20.0,1.0,identity,zscore,1.216296083658521,3.2468257473148334
scenario=summer_child_no_dotcom_pre2007__topk=75__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,75,utility,10.0,1.0,diagSigma,zscore,0.9462970049489933,0.29813241539523005
scenario=summer_child_no_dotcom_pre2007__topk=83__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,83,return,5.0,1.0,diagSigma,zscore,1.112599789428953,0.3293228230904788
scenario=summer_child_no_dotcom_pre2007__topk=83__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,83,sharpe,20.0,1.0,identity,zscore,1.1405161402422375,2.9689061348255303
scenario=summer_child_no_dotcom_pre2007__topk=83__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,83,utility,10.0,1.0,diagSigma,zscore,0.9819208314156784,-0.026867771113757044
scenario=summer_child_no_dotcom_pre2007__topk=85__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,85,return,5.0,1.0,diagSigma,zscore,0.5149002147339771,0.28231039457023144
scenario=summer_child_no_dotcom_pre2007__topk=85__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,85,sharpe,20.0,1.0,identity,zscore,1.2223900408455495,3.422271484010444
scenario=summer_child_no_dotcom_pre2007__topk=85__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,85,utility,10.0,1.0,diagSigma,zscore,0.8407017674925197,-0.05657781317131594
scenario=summer_child_no_dotcom_pre2007__topk=86__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,86,return,5.0,1.0,diagSigma,zscore,1.0032622958560191,0.5231202733702958
scenario=summer_child_no_dotcom_pre2007__topk=86__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,86,sharpe,20.0,1.0,identity,zscore,1.1010172017640596,3.7748790459455654
scenario=summer_child_no_dotcom_pre2007__topk=86__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,86,utility,10.0,1.0,diagSigma,zscore,0.549088099824536,0.06279978272505105
scenario=summer_child_no_dotcom_pre2007__topk=89__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,89,return,5.0,1.0,diagSigma,zscore,1.06539854796759,0.4593005453934893
scenario=summer_child_no_dotcom_pre2007__topk=89__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,89,sharpe,20.0,1.0,identity,zscore,1.1852729688720405,3.225994991576498
scenario=summer_child_no_dotcom_pre2007__topk=89__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,89,utility,10.0,1.0,diagSigma,zscore,0.8903269437073905,0.07816903939237818
scenario=summer_child_no_dotcom_pre2007__topk=92__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,92,return,5.0,1.0,diagSigma,zscore,1.3420191835704451,0.28399921068921685
scenario=summer_child_no_dotcom_pre2007__topk=92__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,92,sharpe,20.0,1.0,identity,zscore,1.1551164343993106,3.646490213507158
scenario=summer_child_no_dotcom_pre2007__topk=92__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,92,utility,10.0,1.0,diagSigma,zscore,1.0550689422770891,0.026573312119580805
scenario=summer_child_no_dotcom_pre2007__topk=93__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,93,return,5.0,1.0,diagSigma,zscore,0.9161669106287995,0.7235156483948231
scenario=summer_child_no_dotcom_pre2007__topk=93__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,93,sharpe,20.0,1.0,identity,zscore,1.0230174243268075,2.845958416529844
scenario=summer_child_no_dotcom_pre2007__topk=93__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,93,utility,10.0,1.0,diagSigma,zscore,1.1649135953298049,0.14796177169773728
scenario=summer_child_no_dotcom_pre2007__topk=94__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,94,return,5.0,1.0,diagSigma,zscore,0.5883068443227454,0.4642221429385245
scenario=summer_child_no_dotcom_pre2007__topk=94__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,summer_child_no_dotcom_pre2007,94,sharpe,20.0,1.0,identity,zscore,1.1648916453508154,2.3636191061536964
scenario=summer_child_no_dotcom_pre2007__topk=94__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,summer_child_no_dotcom_pre2007,94,utility,10.0,1.0,diagSigma,zscore,0.9970864262668018,0.2466105778585188
