variable,c
dp,-0.1005991026829336
ep,-0.4379554232255785
bm,-0.009718579118952155
ntis,-0.008009821316178807
tbl,0.005317829862931786
tms,0.0016570811900297213
dfy,-0.0013245848190484983
svar,0.0006858108904268469
infl,0.002463288233554946
