variable,mu_next
dp,-4.362695849386586
ep,-3.304939123361212
bm,0.18315214516379197
ntis,-0.004014372480154176
tbl,0.04158957089268964
tms,0.0016405101720576088
dfy,0.006420506146155293
svar,0.0017871226558554513
infl,0.0014840553968717843
