,dp,ep,bm,ntis,tbl,tms,dfy,svar,infl
dp,0.0019466091374668569,0.0016104188109648898,0.0006489671322667303,-2.384277256799305e-07,8.120957772080714e-06,9.412628030607136e-06,5.544758047122913e-06,8.89533130629592e-05,6.87570219521343e-06
ep,0.0016104188109648898,0.0037211978712331953,0.0005544184857664238,-6.007375023437055e-06,2.3962698863652226e-05,1.1338412578046826e-05,-7.020189165838989e-06,4.369265548040023e-05,1.2645427783058539e-05
bm,0.0006489671322667303,0.0005544184857664238,0.0004247578866523077,-1.2578544661447476e-06,1.1157611330119371e-05,7.372109814782144e-07,1.0871826157851238e-06,2.9407489464729355e-05,7.287107755102287e-06
ntis,-2.384277256799305e-07,-6.007375023437055e-06,-1.2578544661447476e-06,1.4674514391758984e-05,8.625784836726659e-07,-3.7985429510470986e-07,-3.3173704144962154e-07,-1.001447213828528e-06,5.02493717919191e-07
tbl,8.120957772080714e-06,2.3962698863652226e-05,1.1157611330119371e-05,8.625784836726659e-07,1.850580715583852e-05,-1.3995504298030058e-05,-1.274124493855607e-06,-2.8105148062827084e-06,9.460002233601604e-07
tms,9.412628030607136e-06,1.1338412578046826e-05,7.372109814782144e-07,-3.7985429510470986e-07,-1.3995504298030058e-05,1.9243870111905668e-05,3.9160522833472217e-07,5.47325681363161e-07,6.4320007987373e-07
dfy,5.544758047122913e-06,-7.020189165838989e-06,1.0871826157851238e-06,-3.3173704144962154e-07,-1.274124493855607e-06,3.9160522833472217e-07,1.2024352115221258e-06,2.0199020488965456e-06,-5.008489074194163e-07
svar,8.89533130629592e-05,4.369265548040023e-05,2.9407489464729355e-05,-1.001447213828528e-06,-2.8105148062827084e-06,5.47325681363161e-07,2.0199020488965456e-06,2.6918982634893666e-05,-1.5642053054110592e-06
infl,6.87570219521343e-06,1.2645427783058539e-05,7.287107755102287e-06,5.02493717919191e-07,9.460002233601604e-07,6.4320007987373e-07,-5.008489074194163e-07,-1.5642053054110592e-06,7.696850131893534e-06
