yyyymm,mahalanobis,mahalanobis_sq,gaussian_logpdf
198002,4.045118883739006,16.362986783581903,29.04352666367282
198003,7.5885704268192615,57.58640112279586,8.431819494065842
198004,7.376668842561842,54.415243212822666,10.01739844905244
198005,10.699052757933307,114.4697299170403,-20.009844903056376
198006,3.9389582219519754,15.515391874283067,29.46732411832224
198007,7.464569072991204,55.719791445456764,9.365124332735391
198008,3.6931746608758416,13.639539075735389,30.40525051759608
198009,4.18383305044375,17.50445899398546,28.472790558471043
198010,4.880460473075869,23.818894429255938,25.315572840835806
198011,6.841893004358162,46.81149988308515,13.819270113921199
198012,6.704164725044461,44.945824660530484,14.752107725198531
198101,3.8574324859164784,14.879785383403782,29.78512736376188
198102,2.982615910696553,8.895997670740227,32.77702122009366
198103,5.2605723760152445,27.673621723294673,23.388209193816436
198104,3.4939917748943308,12.207978523029237,31.121030793949153
198105,8.064296238305861,65.03287381915405,4.708583145886749
198106,5.230605575044803,27.35923468168977,23.545402714618888
198107,2.6994067602019807,7.286796857024153,33.581621626951694
198108,5.601803211633565,31.380199221868125,21.53492044452971
198109,3.749008131086477,14.05506196695252,30.197489071987512
198110,4.159853343220638,17.304379837103916,28.572830136911815
198111,6.860685343880416,47.06900338773554,13.690518361596002
198112,4.793715128182096,22.979704730161885,25.73516769038283
198201,4.878166208882718,23.796505561485183,25.32676727472118
198202,4.918108046320006,24.187786755277585,25.13112667782498
198203,5.967257066429995,35.60815689685871,19.42094160703442
198204,2.161180707373328,4.670702049922677,34.88966903050243
198205,3.474344499150675,12.071069698778553,31.189485206074497
198206,3.2769717783896324,10.73854403636211,31.855748037282716
198207,4.489200620854638,20.152922214281666,27.14855894832294
198208,8.351059762296545,69.74019915344843,2.354920478739558
198209,3.3481695680666177,11.2102394565274,31.61990032720007
198210,5.457941288950676,29.789123113632566,22.330458498647488
198211,3.4857563779369154,12.150497526327882,31.14977129229983
198212,3.6132789417882973,13.055784711170757,30.697127699878394
198301,1.6097522158867565,2.591302196552323,35.92936895718761
198302,3.066644668630506,9.404309523639908,32.52286529364382
198303,6.079053439911159,36.9548907252957,18.747574692815924
198304,3.559382378640092,12.669202917373598,30.890418596776975
198305,2.417748370904228,5.845507185010048,34.30226646295875
198306,2.4103826672122115,5.809944602397056,34.32004775426525
198307,4.714984184695475,22.231075861928453,26.109482124499547
198308,2.381109185323021,5.66968095242966,34.390179579248944
198309,1.8734517604382774,3.5098214986892806,35.470109306119134
198310,1.9450990310771021,3.7834102406970813,35.33331493511523
198311,1.704497507422602,2.905311752809863,35.77236417905884
198312,1.500546056639689,2.251638468096921,36.09920082141531
198401,3.6127765585779827,13.052154462210574,30.698942824358486
198402,2.8028488906811178,7.855961903992371,33.29703910346759
198403,1.9763746936759625,3.9060569298027548,35.27199159056239
198404,1.8438606238418471,3.3998220001544457,35.52510905538655
198405,4.111187953718522,16.90186639080029,28.774086860063626
198406,5.213331087002235,27.1788210227039,23.635609544111823
198407,3.6546341492950267,13.356350765193383,30.54684467286708
198408,3.848395923381399,14.810151183098569,29.81994446391449
198409,2.4915096728663615,6.207620449986644,34.12120983047045
198410,4.9129047941018404,24.13663351590885,25.156703297509345
198411,4.486752128677573,20.130944664192732,27.159547723367407
198412,2.3299615329488237,5.4287207450212325,34.510659682953154
198501,2.7513128248117167,7.569722259973427,33.44015892547706
198502,3.839098487575393,14.73867719730367,29.855681456811936
198503,2.779687547705867,7.726662862871056,33.36168862402825
198504,1.9977977052663436,3.9911956711674685,35.229422219880036
198505,3.0443588241749517,9.268120650331895,32.590959730297826
198506,1.491832075877917,2.2255629426182155,36.11223858415467
198507,1.8761683262159965,3.520007588296134,35.465016261315704
198508,1.0550486898194111,1.1131277378896558,36.668456186518945
198509,2.616890029117214,6.848113424493094,33.80096334321723
198510,1.6964744947789574,2.878025711435519,35.78600719974602
198511,2.2694138268309607,5.150239117411545,34.649900496758
198512,2.5786381421436153,6.649374668117876,33.90033272140484
198601,0.6304523361499799,0.39747014815696724,37.02628498138529
198602,4.210567950775993,17.728882468101943,28.3605788214128
198603,2.9045075027775904,8.436163833691314,33.00693813861812
198604,3.1287602940955535,9.789140977908893,32.33044956650933
198605,3.240849728775329,10.503106964503122,31.973466573212214
198606,3.163994243933754,10.010859575645926,32.21959026764081
198607,3.010936145283002,9.065736470971663,32.692151819977944
198608,2.46647647205042,6.083506187178287,34.18326696187463
198609,3.6456064428548864,13.29044633618506,30.579796887371245
198610,1.890806437647827,3.5751489846504665,35.43744556313854
198611,1.8569054597940222,3.4480978866128487,35.50097111215735
198612,3.1879257248831356,10.162870427371665,32.14358484177794
198701,3.8777545725665186,15.036980525060542,29.7065297929335
198702,1.2754012748094474,1.6266484117855637,36.41169584957099
198703,1.5895510520871112,2.526672547191242,35.96168378186815
198704,2.802257532459806,7.852647278227721,33.29869641634991
198705,1.1270007044928558,1.2701305879273934,36.589954761500074
198706,1.5225085439221073,2.3180322663158153,36.06600392230587
198707,2.1579328268709004,4.656674085287036,34.896683012820255
198708,1.816622715630351,3.3001180909441907,35.574961009991675
198709,2.4337990731919428,5.923377928669959,34.26333109112879
198710,14.41658900802234,207.83803862623057,-66.69399925765151
198711,6.51652798031113,42.465136918177855,15.992451596374845
198712,2.491688226790057,6.208510219524179,34.12076494570168
198801,3.1255753468747964,9.769221248991505,32.34040943096802
198802,1.6373218344822498,2.68082278967232,35.88460866062761
198803,2.38680866565762,5.696855606458308,34.376592252234616
198804,2.10514764619848,4.431646612295002,35.009196749316274
198805,1.8162668348729343,3.2988252154593467,35.5756074477341
198806,2.7087778596580265,7.337477492973519,33.55628130897701
198807,1.6825633178319381,2.83101931851362,35.80951039620696
198808,1.873986238842984,3.5118244233728735,35.46910784377734
198809,2.262819349111758,5.120351406714561,34.66484435210649
198810,2.2850844833054285,5.221611095843237,34.61421450754216
198811,2.5193605894858164,6.347177779854321,34.05143116553661
198812,3.7378927313340498,13.971842070959921,30.23909901998381
198901,2.283078106971417,5.21244564253219,34.61879723419768
198902,1.8337940135589565,3.3628004841646666,35.54361981338144
198903,2.5118724670204915,6.309503290575609,34.07026841017597
198904,1.7893922786802183,3.2019247270003843,35.62405769196358
198905,1.8163599850295984,3.299163595216723,35.57543825785541
198906,2.310642808474554,5.339070188355175,34.55548496128618
198907,2.1990135290031736,4.835660500738992,34.807189805094275
198908,2.0500524244269815,4.202714942898945,35.1236625840143
198909,1.077943635140516,1.1619624805399498,36.644038815193795
198910,1.825892655796942,3.33388399049321,35.55807806021717
198911,1.2072813035397252,1.4575281458765779,36.49625598252548
198912,3.815862438925732,14.560806152804235,29.944616979061657
199001,3.6170582249840715,13.08311020292492,30.683464954001312
199002,1.2194792946787427,1.487129750150164,36.48145518038869
199003,4.71204974845108,22.203412831877884,26.12331363952483
199004,2.2422987460995465,5.027903666759599,34.71106822208397
199005,2.8661952021923582,8.215074937070494,33.117482586928524
199006,1.5493664417994624,2.400536370974327,36.02475186997661
199007,1.5572040214375271,2.424884364381206,36.01257787327317
199008,3.7733601587787424,14.238246887858736,30.105896611534405
199009,2.1385408863537956,4.573357122606877,34.93834149416033
199010,1.36577007091252,1.8653278866003897,36.29235611216358
199011,1.9356768294050317,3.7468447878955167,35.35159766151602
199012,1.7404704533195405,3.029237398878327,35.71040135602461
199101,2.3702086612174007,5.617889097709983,34.416075506608784
199102,2.3913146926806936,5.718385959430561,34.36582707574849
199103,1.7895380431329608,3.2024464078201467,35.6237968515537
199104,1.3656755388392938,1.8650696773839956,36.29248521677177
199105,1.6934513390191448,2.8677774376257346,35.791131336650906
199106,2.4338757711312513,5.923751269299743,34.2631444208139
199107,1.7391532406489125,3.024653994459614,35.71269305823397
199108,1.6782316052869448,2.8164613209839957,35.81678939497178
199109,2.3826164425926897,5.676861112513044,34.386589499207254
199110,1.8889073885904861,3.5679711226717297,35.441034494127905
199111,2.590902943196318,6.712778061063345,33.8686310249321
199112,3.3783265895128176,11.413090545409306,31.51847478275912
199201,2.614189820799058,6.833988419169412,33.808025845879065
199202,1.2800050426858371,1.638412909301172,36.40581360081319
199203,2.7356361100507005,7.483704926613329,33.48316759215711
