epoch,train_loss,val_sharpe,val_mean_a,val_vol_a,val_util_a,val_risk_m,val_max_w_med,val_n_eff_med,val_ic_med,val_mu_std_med,val_select_score,val_select_key
1,-0.012726909422781318,0.6773441632476572,0.1524787328671664,0.22511264013171733,-0.01315982814412564,0.002760642683521534,0.30413226783275604,5.845227691683826,-0.04785271155634159,0.3537145406007767,-0.01315982814412564,util_a
2,-0.017255945355697935,0.5974378036141191,0.13680368832622963,0.22898398376878193,-0.02931703623229017,0.002768678742641997,0.2932458072900772,6.3491690298489685,-0.03319244943523081,0.36139991879463196,-0.02931703623229017,util_a
3,-0.017731113392593607,0.6600439730556894,0.14364115117738643,0.21762360848738038,-0.01332643946322302,0.0026161265106768245,0.27114900946617126,6.192382596323734,-0.047224801496811276,0.34541620314121246,-0.01332643946322302,util_a
4,-0.013577282225014642,0.6686380797258015,0.15026538271922618,0.22473351021254898,-0.005342576497544845,0.0025934659869461837,0.2469891533255577,6.661586416206083,-0.04657007583525252,0.38714149594306946,-0.005342576497544845,util_a
5,-0.01411945527485971,0.6907789960859222,0.14895750675350428,0.21563699475061265,-0.007439084389867882,0.002606609852389536,0.2965313196182251,5.966387209691966,-0.03899939027391834,0.3709711581468582,-0.007439084389867882,util_a
6,-0.013101818765530229,0.6307806380452823,0.14572690524316081,0.23102628148847626,-0.020188432031621538,0.002765255621246373,0.2793668508529663,6.278659468497215,-0.0130643497381403,0.3649161607027054,-0.020188432031621538,util_a
7,-0.015691551188605705,0.5989467558840935,0.13445963299212357,0.22449346568886813,-0.02081125749585529,0.0025878481747996476,0.27698031067848206,6.3401547104561455,-0.0377475471320108,0.3584355562925339,-0.02081125749585529,util_a
8,-0.02330899712563093,0.5974935863722605,0.13113742985296994,0.21947922595886915,-0.022802291981255014,0.002565662030570416,0.2716996520757675,6.4737222850882326,-0.04275657105946458,0.3254745304584503,-0.022802291981255014,util_a
9,-0.016142875230538527,0.5113670904931847,0.11556663597002625,0.22599545046603872,-0.0472097567593058,0.002712939878822201,0.3194487541913986,5.6738657789133615,-0.0393230264571708,0.34457238018512726,-0.0472097567593058,util_a
10,-0.014392356299919942,0.6280095984268365,0.13482749128403762,0.21469017610742314,-0.01590511746083697,0.00251221014574791,0.27757681906223297,6.219623448394782,-0.03889845459659307,0.3590410053730011,-0.01590511746083697,util_a
11,-0.016031981102059945,0.5749662626981022,0.12699127368008095,0.2208673480833176,-0.031303782054844,0.0026382509289154163,0.28215304017066956,5.905969487581309,-0.05938243614177912,0.3202805072069168,-0.031303782054844,util_a
12,-0.01759555902357793,0.5194680016575666,0.12139805766249387,0.23369689234872262,-0.04785150950192474,0.0028208261194069767,0.32137322425842285,5.479748305937285,-0.04339287996526636,0.3127567768096924,-0.04785150950192474,util_a
13,-0.012044404042951231,0.5149081693957798,0.11393954034429044,0.22128128298581504,-0.043337804304125406,0.0026212890774735976,0.2867039442062378,6.208643283334937,-0.04096857925818779,0.3667164146900177,-0.043337804304125406,util_a
14,-0.018682433893055923,0.5524231247355612,0.12297884157548347,0.22261711370935033,-0.040146906355706356,0.0027187624655198306,0.30670036375522614,5.827350390225954,-0.05086004862162054,0.35313814878463745,-0.040146906355706356,util_a
