category,run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,best_val_metric,test_sharpe
hyperparameter_grid,loss=utility__gamma=20.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,200,utility,20.0,1.0,diagSigma,zscore,0.0424220394808799,
hyperparameter_grid,loss=utility__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,200,utility,20.0,1.0,identity,zscore,0.03953601514222101,
hyperparameter_grid,loss=utility__gamma=5.0__kappa=0.0__omega=identity__mu=zscore,standard,200,utility,5.0,0.0,identity,zscore,0.04097901513159741,
hyperparameter_grid,loss=utility__gamma=5.0__kappa=0.1__omega=diagSigma__mu=zscore,standard,200,utility,5.0,0.1,diagSigma,zscore,0.05422210759716109,
hyperparameter_grid,loss=utility__gamma=5.0__kappa=0.1__omega=identity__mu=zscore,standard,200,utility,5.0,0.1,identity,zscore,0.08070620566868456,
hyperparameter_grid,loss=utility__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,200,utility,5.0,1.0,diagSigma,zscore,0.03469049131454085,
hyperparameter_grid,loss=utility__gamma=5.0__kappa=1.0__omega=identity__mu=zscore,standard,200,utility,5.0,1.0,identity,zscore,0.1335380184580572,
universe_sweep,topk=21__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,21,return,5.0,1.0,diagSigma,zscore,0.2616695000440814,1.276190738729977
universe_sweep,topk=21__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,21,sharpe,20.0,1.0,identity,zscore,0.8423578321037737,1.0335894178116625
universe_sweep,topk=21__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,21,utility,10.0,1.0,diagSigma,zscore,0.11511447450611739,0.8944553434178159
universe_sweep,topk=24__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,24,return,5.0,1.0,diagSigma,zscore,0.24632913414388896,1.1902716465701308
universe_sweep,topk=24__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,24,sharpe,20.0,1.0,identity,zscore,0.9251671858899917,1.1932194987934919
universe_sweep,topk=24__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,24,utility,10.0,1.0,diagSigma,zscore,0.09341084150364623,1.1285712585273315
universe_sweep,topk=34__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,34,return,5.0,1.0,diagSigma,zscore,0.22076976714888585,1.4582889267350585
universe_sweep,topk=34__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,34,sharpe,20.0,1.0,identity,zscore,0.9559375790052469,1.0210878903703622
universe_sweep,topk=34__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,34,utility,10.0,1.0,diagSigma,zscore,0.146143811638467,1.1780915023682532
