epoch,train_loss,val_sharpe,val_mean_a,val_vol_a,val_util_a,val_risk_m,val_max_w_med,val_n_eff_med,val_ic_med,val_mu_std_med,val_select_score,val_select_key
1,0.020328152218661716,-0.16741057339681953,-0.03739885059767403,0.22339598890721632,-0.4229623065853957,0.003213028799897681,0.46200108528137207,2.9307341188340272,-0.027021162077576714,0.20415620505809784,-0.4229623065853957,util_a
2,0.01684928647314553,-0.2607774552731002,-0.057600937632378196,0.2208815849199641,-0.45384337947471065,0.003302020348686104,0.47771309316158295,2.842391145832468,-0.007864411279094811,0.1829368695616722,-0.45384337947471065,util_a
3,0.020133330603130162,-0.06368759442279115,-0.014586608341778629,0.2290337462721782,-0.4207166629581479,0.0033844171218030774,0.47703762352466583,2.905045754493122,-0.01686338421867656,0.19688890129327774,-0.4207166629581479,util_a
4,0.01645844455231868,-0.16087582602886158,-0.03579689071048051,0.22251255265596942,-0.4059848759556189,0.00308489987704282,0.4788634777069092,3.0123119657723882,-0.009895867984949527,0.20532383024692535,-0.4059848759556189,util_a
5,0.017081873524667963,-0.18345392300780974,-0.04052349550765939,0.22089195391995423,-0.403155215474544,0.003021930999724039,0.46250663697719574,2.9662145696908357,-0.013065910236346841,0.2327641397714615,-0.403155215474544,util_a
6,0.014893087044973592,-0.20547941100386974,-0.047777563170529905,0.23251752054820052,-0.4590003333985806,0.003426856418567089,0.48400722444057465,2.868751633958334,-0.01566451055704094,0.20681001245975494,-0.4590003333985806,util_a
7,0.013089501853322699,-0.04410511467981779,-0.009288354772434105,0.21059586489728116,-0.3506561288915691,0.002844731450992792,0.4806363135576248,2.9879423683703736,-0.012852214111766357,0.22130459547042847,-0.3506561288915691,util_a
8,0.021736742127575866,-0.02493128436222369,-0.005624810396693647,0.22561254025049446,-0.4121129233855754,0.0033874009415740145,0.49560295045375824,2.817130250980608,-0.01839151046378201,0.2042303830385208,-0.4121129233855754,util_a
9,0.021833674416744282,-0.13763428445935,-0.03072677206946537,0.22324940468159896,-0.4000997029710561,0.003078107757513256,0.4685422033071518,2.825171130578091,-0.014958967762031046,0.21881549805402756,-0.4000997029710561,util_a
10,0.018840097245715913,-0.07659006432873955,-0.0169999769590504,0.221960604263323,-0.3931377806169621,0.0031344816971492643,0.47126777470111847,2.8825245448534176,-0.02011634147923314,0.20048752427101135,-0.3931377806169621,util_a
11,0.016588182806680424,-0.24633163378245126,-0.054383602039888505,0.22077392661500903,-0.42257271094713356,0.0030682425742270423,0.5008015185594559,2.823256978530927,-0.024859550540212882,0.1881439909338951,-0.42257271094713356,util_a
12,0.017091706047289164,-0.14385566088119436,-0.03199394558396307,0.2224031045274051,-0.39856768247045693,0.003054781140720782,0.5017505586147308,2.8380976706052667,-0.02207351560701714,0.20703361928462982,-0.39856768247045693,util_a
13,0.014322967678751974,-0.06294564352986921,-0.013403875497169792,0.2129436565494225,-0.3800521329161711,0.003055402145158344,0.49536000192165375,2.8380667362244454,-0.015036946991022232,0.20018260926008224,-0.3800521329161711,util_a
14,0.018344348396307657,-0.09573451104090985,-0.019731475599110128,0.20610619289195115,-0.35017369528068226,0.0027536851640131014,0.46102070808410645,2.9664426843882135,-0.018374667347944837,0.22715691477060318,-0.35017369528068226,util_a
15,0.016432897104615613,-0.20418676273445238,-0.04392311086412519,0.21511243077517025,-0.3867828522226774,0.0028571645113212676,0.45944952964782715,2.9707801686801663,-0.006898175614958783,0.2236773893237114,-0.3867828522226774,util_a
16,0.00965081932233824,-0.17531300238506894,-0.03811711183516309,0.21742318776370537,-0.39346003538230434,0.0029611910295595104,0.4599839001893997,2.9476194135608162,-0.01132860924277726,0.2156064286828041,-0.39346003538230434,util_a
17,0.015545860503888911,-0.08884542575768276,-0.01814037966541946,0.20417910669713862,-0.36820998779730874,0.0029172467344324104,0.4713388979434967,2.9832319115067913,-0.011614996217660673,0.20510796457529068,-0.36820998779730874,util_a
18,0.0195387684701321,-0.1533196759235166,-0.03323203343898058,0.21674995879462355,-0.3888821094995365,0.0029637506338379654,0.45864933729171753,3.012304733278997,-0.00883678336684808,0.22928127646446228,-0.3888821094995365,util_a
19,0.011309454184291618,-0.05428646278940105,-0.011721270055340939,0.21591515551046597,-0.37325117330888136,0.003012749193779503,0.4711850583553314,3.0270652501792883,-0.012922411842975632,0.22804246097803116,-0.37325117330888136,util_a
20,0.01611983917176812,-0.17809830216071626,-0.039608215526095586,0.22239524490342955,-0.3985911273834063,0.002991524265477589,0.46525247395038605,2.931372079393581,-0.016039577510231166,0.228182353079319,-0.3985911273834063,util_a
21,0.014144175558439678,-0.20465424667999746,-0.04324776976136491,0.21132114511546665,-0.3873477272572927,0.0028674996457993982,0.46760135889053345,2.870647980797983,-0.015797146135319896,0.21788139641284943,-0.3873477272572927,util_a
22,0.0172036847486327,-0.19358017666747265,-0.041505033151770475,0.21440745569146388,-0.38982755050674317,0.002902687644624772,0.46737219393253326,2.865113919650927,-0.018112710382933085,0.21060902625322342,-0.38982755050674317,util_a
23,0.018107776153123097,-0.13488740957716577,-0.029949767445214093,0.22203530736458899,-0.38616101390216495,0.0029684270538079243,0.46971333026885986,2.9247997266245056,-0.011846847516932046,0.22301968932151794,-0.38616101390216495,util_a
24,0.018592214527806,-0.1698957904008355,-0.03708387236692942,0.2182742272734802,-0.38630053471424614,0.002910138852894306,0.46567896008491516,2.9414756647604294,-0.01603897241735988,0.21489866077899933,-0.38630053471424614,util_a
