yyyymm,contraction,expansion,financial_stress
198001,0.0018045324192717874,0.08230963764989806,0.9158858299308301
198002,0.002286223762255075,0.08665741932417749,0.9110563569135675
198003,2.2535639701349604e-05,0.0005429225097189076,0.9994345418505799
198004,5.244237736158721e-06,0.000324266114979485,0.9996704896472843
198005,0.0006552985810283822,0.04305818672179534,0.9562865146971763
198006,0.003469156978293836,0.17264234013464408,0.8238885028870621
198007,0.002131089406187721,0.8043782234154542,0.19349068717835813
198008,0.005980108255671371,0.33152131603432344,0.6624985757100053
198009,0.0018796178319746045,0.036106071033455964,0.9620143111345694
198010,0.00036302944408982346,0.0028743241514500493,0.9967626464044601
198011,0.00010395249300302151,0.0008190804577558954,0.9990769670492412
198012,3.1758983319204855e-06,2.6800399168982482e-05,0.999970023702499
198101,1.6719732044154057e-06,1.7789191087521605e-05,0.999980538835708
198102,5.970312802675136e-06,2.9807318978629095e-05,0.9999642223682186
198103,0.00010953559791636959,0.0006445334826876427,0.999245930919396
198104,0.0005000591415892006,0.004057285015886437,0.9954426558425243
198105,2.224074070022774e-05,0.00032150551645706226,0.9996562537428427
198106,2.547296997680601e-05,0.0001384262501936688,0.9998361007798295
198107,0.00014981368924245304,0.0004442756385298874,0.9994059106722276
198108,0.0008423151672590255,0.005932599093549225,0.9932250857391918
198109,0.002348517269888067,0.009071159827659053,0.9885803229024528
198110,0.003471559778656395,0.041858422075172146,0.9546700181461714
198111,0.0023379848941944567,0.03349635658175836,0.9641656585240471
198112,0.002873838979712297,0.01773157598192909,0.9793945850383586
198201,0.003870117570369531,0.01709747809020928,0.9790324043394212
198202,0.00225489393728383,0.0144724521021223,0.9832726539605938
198203,0.005474433403112276,0.033968098911225285,0.9605574676856624
198204,0.004324490027351939,0.007461611314100586,0.9882138986585475
198205,0.015447890029143775,0.00767453285699101,0.9768775771138651
198206,0.04338527990724398,0.01083586407476483,0.9457788560179912
198207,0.09739739423218591,0.0806329719135683,0.8219696338542458
198208,0.013525751648062113,0.005634315256683466,0.9808399330952544
198209,0.0635067065395651,0.059700814343856816,0.8767924791165781
198210,0.016367302934622335,0.006385565498871208,0.9772471315665064
198211,0.01441839124372868,0.007051215527620012,0.9785303932286514
198212,0.13059269019058659,0.18271784464264978,0.6866894651667635
198301,0.2693698889946991,0.08555367040516994,0.6450764406001309
198302,0.30864128304905075,0.22166917415863308,0.4696895427923162
198303,0.11057940715528074,0.10427670777355681,0.7851438850711625
198304,0.13508911973946425,0.03529822765292502,0.8296126526076109
198305,0.294418550186443,0.10083826102633887,0.6047431887872181
198306,0.17472323901424583,0.09791881762837389,0.7273579433573802
198307,0.26285552160366754,0.24180115378383546,0.49534332461249714
198308,0.2695677742308718,0.3582795531739212,0.37215267259520696
198309,0.1938166939330757,0.34548354654566427,0.46069975952125997
198310,0.1537657750806827,0.45034091776862883,0.39589330715068854
198311,0.08289792722470614,0.4270016412572509,0.49010043151804306
198312,0.06260214299474898,0.4841154418883151,0.45328241511693596
198401,0.028287116905758424,0.11428312948219481,0.8574297536120467
198402,0.01590963987425195,0.07248198791817603,0.911608372207572
198403,0.01604946492127389,0.14653028900873155,0.8374202460699945
198404,0.010555377230153394,0.051188915877352296,0.9382557068924943
198405,0.014515729701599029,0.0992722124205436,0.8862120578778575
198406,0.010590795464876113,0.036690413337418036,0.9527187911977059
198407,0.0025767691056493803,0.012257818357413568,0.985165412536937
198408,0.0006010783564066739,0.001262960754670479,0.9981359608889228
198409,0.0017315713195192545,0.005115253669375786,0.993153175011105
198410,0.010720367413272112,0.09076008655765917,0.8985195460290688
198411,0.03843265714176785,0.5276977686431745,0.4338695742150576
198412,0.05883008630719175,0.483861217411763,0.4573086962810452
198501,0.10959475099362077,0.4560562975098876,0.43434895149649166
198502,0.20625847879804646,0.37534808368209865,0.41839343751985486
198503,0.20948775713245205,0.4425009307301966,0.3480113121373513
198504,0.2612750604961105,0.38824222760302773,0.35048271190086183
198505,0.2343225760147294,0.31144506184818593,0.4542323621370848
198506,0.32668102826896284,0.3567381020967972,0.31658086963424015
198507,0.3310219189687225,0.33059874104027426,0.33837933999100317
198508,0.31237986016819635,0.35812940128932014,0.32949073854248345
198509,0.36404754893513847,0.2881607874725425,0.347791663592319
198510,0.4252445118859124,0.2743421128107744,0.30041337530331325
198511,0.3748565342595153,0.1757566421621581,0.4493868235783266
198512,0.33983850102392626,0.18728062236439807,0.4728808766116757
198601,0.3212676994411347,0.15669683663228337,0.5220354639265818
198602,0.15818529042716806,0.3217312406760323,0.5200834688967997
198603,0.15099845084695057,0.42993295633527673,0.4190685928177727
198604,0.3021810950147114,0.3772829205711917,0.32053598441409675
198605,0.6024207499681284,0.2594883974768017,0.13809085255506984
198606,0.5096763662005009,0.2522457648250746,0.23807786897442446
198607,0.31818599779101975,0.47449965781343695,0.2073143443955432
198608,0.370797813075165,0.33832678697050284,0.2908753999543321
198609,0.39407836170793104,0.2425151689363974,0.36340646935567156
198610,0.38816063891532776,0.45053350345654464,0.1613058576281276
198611,0.35623032949596684,0.40517313092386853,0.23859653958016463
198612,0.3676682523411119,0.29187801009080616,0.34045373756808206
198701,0.5595288848165428,0.10918874143649371,0.33128237374696345
198702,0.5367530503555343,0.24913559593286919,0.21411135371159654
198703,0.6237264461700259,0.19468623109133928,0.18158732273863487
198704,0.692397956666497,0.09751035035650263,0.21009169297700045
