yyyymm,date,EqualWeight_TopK,diagSigma_kappa_0.0,diagSigma_kappa_0.1,diagSigma_kappa_0.5,diagSigma_kappa_1.0,diagSigma_kappa_10.0,identity_kappa_0.0,identity_kappa_0.1,identity_kappa_0.5,identity_kappa_1.0,identity_kappa_10.0
201601,2016-01-01,0.04274665665,-0.00853641055579579,0.016055333164597972,0.015669164156558762,0.015715786508266164,0.017233753373907014,-0.00853641055579579,0.0313536547292783,0.03789183047794676,0.040146931983862065,0.04246779527317897
201602,2016-02-01,0.09212272830000003,0.10605867168751296,0.08982612019786729,0.06162487689754766,0.060837351205004796,0.06395841062295796,0.10605867168751296,0.08381085998839681,0.09006512336745345,0.0910435986671787,0.09200959702551835
201603,2016-03-01,0.03995038999999999,0.04166829528009232,0.07080773916138097,0.04311180450043228,0.04020339339810026,0.038801404697579825,0.04166829528009232,0.04119039401996385,0.040193451310321336,0.04006461090806722,0.0399609594083802
201604,2016-04-01,-0.0062589891749999915,-0.012032871624077091,0.0013291701228304318,0.013234116286104169,0.01613616556921775,0.01544100463094762,-0.012032871624077091,0.004247014901409209,-0.003447072346970233,-0.004777065184838127,-0.0061026846901033405
201605,2016-05-01,0.012300477631030019,0.01527734339816262,0.00702076279337677,0.011090873701027584,0.008984233308190252,0.006297106783709125,0.01527734339816262,0.021038707487101425,0.015204617693053852,0.013835345004065138,0.012463014226374842
201606,2016-06-01,0.07240634007604,0.04789889162628515,0.04990075171271816,0.039766330584108965,0.041620636645611386,0.04523564275215383,0.04789889162628515,0.07138049321195719,0.07212429757901684,0.07225924332566737,0.0723910460223442
201607,2016-07-01,0.019554040825000004,0.01706018593671997,0.03662838607538151,0.0219951680974735,0.022183851222105568,0.022044211307446993,0.01706018593671997,0.02364708267159085,0.020870674043071562,0.020243260809632693,0.019626426233808263
201608,2016-08-01,0.015749770825000006,0.03481675166627671,0.04876855058754833,0.02526943046063954,0.01993091144288348,0.016245297172635686,0.03481675166627671,0.02242926700723912,0.016952597172538518,0.016332690669238037,0.015806197324087876
201609,2016-09-01,-0.03690415,-0.007631540865143505,0.0053477576344124495,0.004531100200618687,0.0034561481830417454,-0.0002463829966304979,-0.007631540865143505,-0.018216259997221495,-0.031350491325653214,-0.03399086274730435,-0.03659738479255997
201610,2016-10-01,0.09899827582500002,0.06048602644770523,0.08122789358669295,0.07296631946624203,0.07558573675602878,0.08282626951529563,0.06048602644770523,0.07840152276168307,0.0927126711501735,0.09566381715643966,0.09864384892292467
201611,2016-11-01,0.03610620082500002,0.020749474721426138,0.05235289029955706,0.06591346981365068,0.06844683082642826,0.06788669504056816,0.020749474721426138,0.050173036173292634,0.04095892093337519,0.03874209438228903,0.036393545633536806
201612,2016-12-01,0.034001855,0.061675639187460114,0.0677764068452888,0.04491561859665926,0.034031799471432325,0.026279443807180884,0.061675639187460114,0.04260405444140962,0.036288949716901886,0.03518463367613704,0.03412491251959182
201701,2017-01-01,0.012774220000000001,-0.006953024694127993,0.015875643568235082,0.019088061860716963,0.01978075924380523,0.017834041655371412,-0.006953024694127993,0.017588793334304822,0.014156727552708163,0.013502010636156086,0.012851195998287953
201702,2017-02-01,0.005202855825000004,0.01614687447941275,0.011323718546739726,0.008599670159874676,0.008165428412693593,0.007809871795771936,0.01614687447941275,0.008844911924123282,0.006983409717308162,0.006199260552128418,0.005314907426076244
201703,2017-03-01,-0.006173684999999998,0.007029883176654293,0.019434548625812707,0.020956222362421707,0.018486336266847526,0.01307050945706246,0.007029883176654293,0.009164749483441922,0.0005025175169936299,-0.0024312782605023344,-0.005753112837301202
201704,2017-04-01,-0.023402384174999995,0.011519504446156102,0.007751193740398606,0.0055994004233039475,0.002172709988652717,-0.004368959968779329,0.011519504446156102,-0.0028067942869938046,-0.01711564021307487,-0.020083682143993448,-0.02305095450662398
201705,2017-05-01,0.035993670825000004,0.01955743596884394,0.010155450677924319,0.017769559650543575,0.021045490053123467,0.02618756460172207,0.01955743596884394,0.03108706346975792,0.034802520411769663,0.03538317594728877,0.0359308170605809
201706,2017-06-01,0.004446909999999998,0.054345841458906814,0.027754796491955478,0.009721612094705963,0.008574627142211431,0.00853361790603371,0.054345841458906814,0.01328577476939992,0.00713761345227437,0.005902081492175906,0.004604826767535134
201707,2017-07-01,-0.02156870999999999,-0.009711257618257394,-0.006026051742006816,-0.009916545146238246,-0.013452320716906966,-0.018218243344153003,-0.009711257618257394,-0.009423723184473116,-0.01850541468515407,-0.019960332331716357,-0.02139967335609668
201708,2017-08-01,0.07414630047581001,0.11193826929740645,0.08333130941232234,0.0580861347018361,0.059722117502334165,0.06282191235501323,0.11193826929740645,0.07953386132864669,0.07545925551180692,0.0748193839106982,0.07421551123451949
201709,2017-09-01,0.013934131881659999,0.00822040990803384,-0.004675660958928533,0.01207408171004983,0.014284450528667553,0.015355728717721296,0.00822040990803384,0.01205810289312494,0.013493421028641726,0.013702902835116219,0.013909775860792452
201710,2017-10-01,0.035743935825,0.0037001992871692983,0.009363500537505174,0.03170934710690805,0.031479878832224126,0.030738352182911512,0.0037001992871692983,0.040598560218577474,0.03743317111047449,0.036623608760593854,0.03583574837526624
201711,2017-11-01,0.011916385825000007,-0.0031527390848684568,-0.002238663826629755,0.002354489308156511,0.002096020898922883,0.0003074450005231793,-0.0031527390848684568,0.008769747847317861,0.01087253781229223,0.011364967638412818,0.011858200901923228
