epoch,train_loss,val_sharpe,val_mean_a,val_vol_a,val_util_a,val_risk_m,val_max_w_med,val_n_eff_med,val_ic_med,val_mu_std_med,val_select_score,val_select_key
1,-0.031203620584814677,0.214275509728223,0.051594959533152476,0.24078794444768242,-0.09803453118850788,0.004987649690722012,0.45766589045524597,3.1814867295573444,-0.025001278124786433,0.24852556735277176,0.051594959533152476,mean_a
2,-0.027980864422196255,0.24874943475244726,0.058870743960142136,0.23666684516682784,-0.0865937788815548,0.004848817428056564,0.4543798714876175,3.1108687835374957,-0.015676298326742465,0.22770047187805176,0.058870743960142136,mean_a
3,-0.03280117155892575,0.2903307989019736,0.07070437244450054,0.2435303891685381,-0.07939250386940937,0.005003229210463663,0.44886909425258636,3.3882819055682374,-0.038248564028106315,0.25818386673927307,0.07070437244450054,mean_a
4,-0.033451785285641175,0.18619575039408992,0.044880760833621025,0.24104073663573472,-0.10123904154170305,0.004870660079177469,0.46883898973464966,3.4737261262773,-0.051063215040126855,0.300175204873085,0.044880760833621025,mean_a
5,-0.038613058687977694,0.09921616389580676,0.024691804234559335,0.24886876558128737,-0.12207591712164381,0.004892257378540105,0.4581899791955948,3.1145646515596694,-0.036629701161741315,0.2658887058496475,0.024691804234559335,mean_a
6,-0.033588087818186195,-0.022994600883455285,-0.006108316185418516,0.26564132234147547,-0.15656916771937784,0.005015361717798644,0.4485931694507599,3.3188144032582088,-0.045923771961226115,0.2452368438243866,-0.006108316185418516,mean_a
7,-0.039271816235019026,-0.08641227335429225,-0.022238528045515217,0.257353813089147,-0.16862493644778928,0.0048795469467424685,0.4460376799106598,3.4060887442050007,-0.041566786604914835,0.2599819600582123,-0.022238528045515217,mean_a
8,-0.03261700863783647,-0.020398646471950294,-0.005216718340913455,0.2557384553953835,-0.15153206353231025,0.004877178173046559,0.44134481251239777,3.4694205587502127,-0.017701916544121225,0.2387639880180359,-0.005216718340913455,mean_a
9,-0.03304046132169398,-0.0008039782286130107,-0.00020860445996125537,0.25946530955238306,-0.1431082016788423,0.004763319907296035,0.4375316947698593,3.336236608945043,-0.0369958224567617,0.2514548897743225,-0.00020860445996125537,mean_a
10,-0.03672071695161451,0.15320805067447663,0.03948679240420461,0.25773314280950915,-0.11375463055446744,0.005108047431955735,0.46371859312057495,3.090761485492718,-0.04594420790127603,0.23819034546613693,0.03948679240420461,mean_a
11,-0.02729002178862824,-0.06283747371352658,-0.016984778844440978,0.2702969715461675,-0.1685826541700711,0.005053262510854337,0.47182224690914154,3.419888875266949,-0.07084071710034752,0.25533947348594666,-0.016984778844440978,mean_a
12,-0.035374591850476075,-0.008106891397641222,-0.0020900596864521503,0.257812715617748,-0.14865542269156626,0.00488551210017047,0.45207734405994415,3.4318459017209815,-0.032128741981222224,0.25550464540719986,-0.0020900596864521503,mean_a
13,-0.036035276882882626,-0.04805127690910124,-0.01230059377849102,0.2559889053877183,-0.16012216037294516,0.004927385553148472,0.4477981626987457,3.409063576316239,-0.05815519563383391,0.2755090445280075,-0.01230059377849102,mean_a
