epoch,train_loss,val_sharpe,val_mean_a,val_vol_a,val_util_a,val_risk_m,val_max_w_med,val_n_eff_med,val_ic_med,val_mu_std_med,val_select_score,val_select_key
1,-0.04489574662262672,2.8441796817809077,0.2551203090697527,0.08969908290293485,0.2021562858717516,0.0017654674399333696,0.5452432036399841,2.184866879603109,-0.014862183158763153,0.5722886025905609,0.2551203090697527,mean_a
2,-0.024942253798048784,3.2027049172245414,0.2847062340006232,0.08889555589908871,0.2302733800606802,0.0018144284646647673,0.5150909423828125,2.1678394664407934,-0.00707910341442909,0.5472174286842346,0.2847062340006232,mean_a
3,-0.030367261031642556,3.102191981504055,0.2657930089626461,0.08567909740733642,0.21182243968360126,0.0017990189759681623,0.5703625977039337,2.1247739048651866,0.0011778093987210485,0.5636177361011505,0.2657930089626461,mean_a
4,-0.025125697377677027,3.2412018403802856,0.28343841386958957,0.087448553908353,0.23038127049221657,0.001768571445912433,0.5690178275108337,2.188695108002024,-0.00572837571614895,0.6051069498062134,0.28343841386958957,mean_a
5,-0.02888927792542075,3.106786302871567,0.28415869106538594,0.09146386759837151,0.22755510741262697,0.0018867861217586324,0.5370034277439117,2.2767363781147516,-0.009160866856056389,0.5534574687480927,0.28415869106538594,mean_a
6,-0.04123411650193463,3.1691835328071156,0.2818674746667966,0.08894009190245991,0.22558008186751977,0.001876246426642562,0.535816490650177,2.1525282214456887,-0.007519107186253872,0.5445256233215332,0.2818674746667966,mean_a
7,-0.022490776585120904,3.0791506396104182,0.2683686609379947,0.08715671701234799,0.21104035989264958,0.0019109433681781713,0.5328645557165146,2.2575827115156875,-0.0062679605200911285,0.5382091403007507,0.2683686609379947,mean_a
8,-0.033288627012792095,2.979839118273561,0.26912975241430104,0.09031687340464467,0.21324109460692853,0.0018629552602457504,0.5296044051647186,2.239130240769099,0.000817648734781515,0.5465814471244812,0.26912975241430104,mean_a
9,-0.024806214653500847,3.252456378825667,0.2814031773013994,0.0865202002800574,0.22348951862659305,0.0019304552891602118,0.5219974219799042,2.3481859319494616,-0.009977733024143478,0.5419147610664368,0.2814031773013994,mean_a
10,-0.034475277374057395,2.9030484919821227,0.27222805144265294,0.09377316713503464,0.21300489036366343,0.00197410536929965,0.5515389144420624,2.109702385898368,-0.005934538942287574,0.5267728269100189,0.27222805144265294,mean_a
