run_name,scenario,topk,loss,lambda,kappa,omega,mu_transform,test_sharpe,best_val_metric
topk=85__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,return,5.0,1.0,diagSigma,zscore,1.198404165521065,0.26988390281330793
topk=85__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,85,sharpe,20.0,1.0,identity,zscore,1.1403996529606983,1.2317658142390866
topk=85__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,85,utility,10.0,1.0,diagSigma,zscore,0.9627640059130943,0.16302033417159692
topk=86__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,return,5.0,1.0,diagSigma,zscore,1.013157807952156,0.2609566748840735
topk=86__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,86,sharpe,20.0,1.0,identity,zscore,1.0325661856634332,1.2089703266415406
topk=86__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,86,utility,10.0,1.0,diagSigma,zscore,0.8465353728026536,0.11543650103776598
topk=89__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,return,5.0,1.0,diagSigma,zscore,0.9222478849159059,0.2139764977619052
topk=89__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,89,sharpe,20.0,1.0,identity,zscore,1.1855223313349788,1.2081160874201882
topk=89__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,89,utility,10.0,1.0,diagSigma,zscore,1.4474681947174695,0.13999264815938658
topk=92__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,return,5.0,1.0,diagSigma,zscore,0.8323138609604979,0.20023762767668815
topk=92__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,92,sharpe,20.0,1.0,identity,zscore,1.1047604023115711,1.2593158092655041
topk=92__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,92,utility,10.0,1.0,diagSigma,zscore,0.8653424803483957,0.008605336406617425
topk=93__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,93,return,5.0,1.0,diagSigma,zscore,0.48129027888297654,0.2987624500412494
topk=93__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,93,sharpe,20.0,1.0,identity,zscore,1.115281730483069,1.1900584701716719
topk=93__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,93,utility,10.0,1.0,diagSigma,zscore,1.0075765081318329,0.09568515734863468
topk=94__loss=return__gamma=5.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,94,return,5.0,1.0,diagSigma,zscore,1.030280031129424,0.314929721923545
topk=94__loss=sharpe__gamma=20.0__kappa=1.0__omega=identity__mu=zscore,standard,94,sharpe,20.0,1.0,identity,zscore,1.1507391873918418,1.2425053200051133
topk=94__loss=utility__gamma=10.0__kappa=1.0__omega=diagSigma__mu=zscore,standard,94,utility,10.0,1.0,diagSigma,zscore,0.7580062061509737,0.08307034224853851
