n_months,mean_m,vol_m,mean_a,vol_a,sharpe_a,cum_simple,max_drawdown,hit_rate,worst_month,best_month,strategy
107,0.015345019158135432,0.0661362081674204,0.18414022989762519,0.22910254553184775,0.8037458923477028,3.0638022685045216,-0.33708577245258753,0.6261682242990654,-0.23105057834999998,0.22715729825000003,equal_weight
107,0.016474264404590253,0.07125181143250287,0.19769117285508303,0.2468235150648239,0.8009414046435684,3.413481143471202,-0.4242499789840519,0.5794392523364486,-0.22829746200734216,0.2091706110476807,diagSigma_kappa_0.0
107,0.01585291973199264,0.06700624790708459,0.19023503678391168,0.2321164515992525,0.8195672278859026,3.26007652168755,-0.3799494112044123,0.6074766355140186,-0.23009963602589056,0.21391218314723212,diagSigma_kappa_0.1
107,0.01340323228543252,0.06251278962155071,0.16083878742519025,0.21655065549478048,0.7427305498461858,2.3840822800855657,-0.3346149758794231,0.6261682242990654,-0.2454306281555315,0.20887278250933272,diagSigma_kappa_0.5
107,0.01295154089253916,0.06222706086082149,0.15541849071046993,0.21556086203324706,0.7209958674525013,2.2307988151865303,-0.3500577481796231,0.6261682242990654,-0.24873292107341932,0.2066190129354252,diagSigma_kappa_1.0
107,0.012558431076040797,0.0620446428221658,0.15070117291248958,0.21492894741090962,0.701167407777665,2.101660242305651,-0.3629008181524105,0.6261682242990654,-0.2515354200038502,0.20876608543977937,diagSigma_kappa_10.0
107,0.016474263599243203,0.07125180522604721,0.19769116319091845,0.24682349356503083,0.8009414352561725,3.413480965736836,-0.4242500162433186,0.5794392523364486,-0.22829744916552644,0.20917053955496312,identity_kappa_0.0
107,0.013172730321520651,0.06235766414262334,0.1580727638582478,0.21601328507267914,0.7317733435009016,2.3051835515079624,-0.34261049876428185,0.6261682242990654,-0.24713059801809042,0.20772930518896443,identity_kappa_0.1
107,0.012646580164628963,0.06207949314980397,0.15175896197554756,0.21504967248716908,0.7056925975304716,2.130289177079761,-0.360051981178381,0.6261682242990654,-0.2509098392082274,0.20812927992850727,identity_kappa_0.5
107,0.0125805407242419,0.06205303604811933,0.1509664886909028,0.21495802239849146,0.7023068364996377,2.108823571202992,-0.3621874820063786,0.6261682242990654,-0.25137858880369257,0.20860635873618955,identity_kappa_1.0
107,0.012520554650204749,0.06203083538904893,0.150246655802457,0.21488111705954857,0.6992082778535638,2.08941508269626,-0.36412147813579654,0.6261682242990654,-0.25180408185532993,0.20903968463592915,identity_kappa_10.0
